total_time,round_number,boosting_type,class_weight,colsample_bytree,importance_type,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,n_estimators,n_jobs,num_leaves,objective,random_state,reg_alpha,reg_lambda,silent,subsample,subsample_for_bin,subsample_freq,feature_fraction,seed,correlation,corr_sharpe,corr_mean,corr_std,max_drawdown,feature_exposure,max_feature_exposure
132.406,260,gbdt,,1,split,0.034,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0237,0.9494,0.0241,0.0254,-0.0535,0.0686,0.2667
143.273,260,gbdt,,1,split,0.034,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0233,0.8912,0.0237,0.0266,-0.062,0.0687,0.2578
151.3921,260,gbdt,,1,split,0.034,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0238,0.9636,0.0243,0.0252,-0.0452,0.0682,0.2632
138.7854,260,gbdt,,1,split,0.036,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0237,0.952,0.0241,0.0253,-0.0457,0.068,0.2631
142.9996,260,gbdt,,1,split,0.036,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0235,0.9142,0.0239,0.0262,-0.0516,0.0684,0.2614
142.2133,260,gbdt,,1,split,0.036,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0228,0.9067,0.0233,0.0257,-0.0605,0.0684,0.2687
146.1425,260,gbdt,,1,split,0.036,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.024,0.9141,0.0245,0.0268,-0.0536,0.0675,0.2574
141.496,260,gbdt,,1,split,0.036,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0243,0.9947,0.0247,0.0248,-0.0454,0.0668,0.2612
133.6274,260,gbdt,,1,split,0.038,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0225,0.8948,0.023,0.0257,-0.0626,0.0676,0.2632
138.2853,260,gbdt,,1,split,0.038,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0235,0.916,0.0239,0.0261,-0.0496,0.0672,0.2616
132.2423,260,gbdt,,1,split,0.038,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0229,0.9472,0.0233,0.0246,-0.05,0.0674,0.2668
139.8815,260,gbdt,,1,split,0.038,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0232,0.9088,0.0236,0.026,-0.067,0.067,0.2593
143.637,260,gbdt,,1,split,0.038,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0229,0.9199,0.0234,0.0254,-0.0592,0.0667,0.261
129.6055,260,gbdt,,1,split,0.04,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0232,0.9429,0.0236,0.025,-0.054,0.0673,0.2643
136.6833,260,gbdt,,1,split,0.04,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0223,0.9013,0.0227,0.0252,-0.0664,0.0666,0.2599
135.7039,260,gbdt,,1,split,0.04,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.022,0.8824,0.0223,0.0253,-0.0595,0.0668,0.2655
144.1965,260,gbdt,,1,split,0.04,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0231,0.9264,0.0235,0.0254,-0.0501,0.0674,0.2669
142.7506,260,gbdt,,1,split,0.04,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0231,0.888,0.0235,0.0265,-0.0588,0.0664,0.2649
136.9345,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0244,0.9554,0.0248,0.026,-0.0605,0.0742,0.2642
141.3747,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0242,0.9417,0.0246,0.0261,-0.0499,0.0735,0.2599
139.7005,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0249,0.9712,0.0253,0.0261,-0.0642,0.0739,0.2641
148.2252,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0242,0.9468,0.0247,0.0261,-0.0705,0.0734,0.2607
151.3643,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0244,0.9865,0.0249,0.0252,-0.0481,0.0735,0.2641
134.8485,260,gbdt,,1,split,0.025,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0257,0.9657,0.0261,0.027,-0.0774,0.0732,0.2615
135.7927,260,gbdt,,1,split,0.025,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0248,0.9243,0.0252,0.0273,-0.0537,0.0732,0.2627
133.8926,260,gbdt,,1,split,0.025,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0247,0.9785,0.0251,0.0257,-0.0471,0.0731,0.2661
140.2815,260,gbdt,,1,split,0.025,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0236,0.9637,0.024,0.0249,-0.0455,0.0736,0.262
146.886,260,gbdt,,1,split,0.025,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0242,0.9542,0.0246,0.0258,-0.0497,0.0735,0.264
136.2051,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0239,0.9175,0.0243,0.0265,-0.0602,0.0726,0.2618
135.6409,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0239,0.9452,0.0244,0.0258,-0.0482,0.0727,0.2648
139.5444,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0238,0.9199,0.0243,0.0264,-0.0488,0.0721,0.2625
147.676,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0254,0.9507,0.0258,0.0271,-0.0636,0.0726,0.2659
150.0463,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0239,0.972,0.0244,0.0251,-0.0458,0.0718,0.2647
136.9433,260,gbdt,,1,split,0.027,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0258,1.003,0.0263,0.0262,-0.0651,0.0722,0.2621
141.8044,260,gbdt,,1,split,0.027,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.024,0.9299,0.0244,0.0262,-0.0506,0.0725,0.2654
134.3801,260,gbdt,,1,split,0.027,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0236,0.9175,0.0241,0.0262,-0.0605,0.0715,0.2688
140.6874,260,gbdt,,1,split,0.027,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0236,0.9737,0.024,0.0247,-0.0457,0.0711,0.2606
142.394,260,gbdt,,1,split,0.027,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0245,0.9575,0.025,0.0261,-0.0445,0.0724,0.2631
129.4727,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0259,0.9844,0.0264,0.0268,-0.0595,0.0716,0.2648
133.184,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0239,0.9394,0.0244,0.0259,-0.0491,0.0707,0.2605
134.9179,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0229,0.8958,0.0234,0.0261,-0.0568,0.0718,0.2653
142.8615,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0236,0.9162,0.024,0.0262,-0.0633,0.0709,0.2604
143.1644,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0252,0.9955,0.0256,0.0257,-0.043,0.0708,0.2623
130.5803,260,gbdt,,1,split,0.029,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0244,0.9278,0.0249,0.0268,-0.0512,0.0713,0.2633
132.187,260,gbdt,,1,split,0.029,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0242,0.9555,0.0247,0.0259,-0.0502,0.0711,0.2663
133.7835,260,gbdt,,1,split,0.029,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0234,0.967,0.0238,0.0246,-0.0509,0.0709,0.2669
140.8689,260,gbdt,,1,split,0.029,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.025,0.968,0.0254,0.0263,-0.0651,0.071,0.2608
142.7184,260,gbdt,,1,split,0.029,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0245,0.9676,0.025,0.0258,-0.0448,0.0708,0.2629
130.7993,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0249,0.9644,0.0254,0.0263,-0.0502,0.0705,0.2647
132.7946,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0234,0.9051,0.0238,0.0263,-0.0446,0.0705,0.2616
135.2843,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0236,0.9468,0.0239,0.0253,-0.0461,0.0706,0.2696
141.4118,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0231,0.8849,0.0235,0.0265,-0.0567,0.07,0.261
154.1362,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0243,0.9628,0.0247,0.0257,-0.0462,0.0702,0.263
140.3554,260,gbdt,,1,split,0.031,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0264,1.008,0.0268,0.0266,-0.0433,0.0699,0.2623
